2026-08-21T06:47:29.801Z INFO  LIVE RUN: Moving files...
2026-08-21T06:47:29.832Z INFO  Scanning directory: /mnt/user/nas/3D Models/MZ4250 3D Miniature Models Aug 2026
2026-08-21T06:47:29.835Z INFO  ======================================================================
2026-08-21T06:47:29.856Z INFO  Moving: NEW_MZ4250_structure.txt → Reference_Docs/
2026-08-21T06:47:30.144Z INFO  Moving: Large Creature Size Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:30.154Z INFO  Moving: Large Creature Size Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:30.167Z INFO  Moving: Peryton 1 .stl → Monstrosity/
2026-08-21T06:47:30.180Z INFO  Moving: Peryton 2 presupported.stl → Monstrosity/
2026-08-21T06:47:30.193Z INFO  Moving: Peryton 2.stl → Monstrosity/
2026-08-21T06:47:30.230Z INFO  Moving: Medium Creature Flying Size Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:30.243Z INFO  Moving: Peryton 1  presupported.stl → Monstrosity/
2026-08-21T06:47:30.273Z INFO  Moving: Large Creature Flying Size Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:30.284Z INFO  Moving: Human Female Underwater Armorer Artificer presupported.stl → Aberration/
2026-08-21T06:47:30.295Z INFO  Moving: Human Female Underwater Armorer Artificer.stl → Aberration/
2026-08-21T06:47:30.305Z INFO  Moving: Medium Creature Flying Size Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:30.315Z INFO  Moving: Bugbear Barbarian 4 w bunny.stl → Beast/
2026-08-21T06:47:30.325Z INFO  Moving: Bugbear Barbarian 4 w bunny presupported.stl → Beast/
2026-08-21T06:47:30.338Z INFO  Moving: Human Male Bard 4 presupported.stl → Humanoid/Human/
2026-08-21T06:47:30.350Z INFO  Moving: Human Male Bard 5 presupported.stl → Humanoid/Human/
2026-08-21T06:47:30.362Z INFO  Moving: Human Male Bard 5.stl → Humanoid/Human/
2026-08-21T06:47:30.375Z INFO  Moving: Human Male Bard 6 presupported.stl → Humanoid/Human/
2026-08-21T06:47:30.387Z INFO  Moving: Human Female Bard 6.stl → Humanoid/Human/
2026-08-21T06:47:30.399Z INFO  Moving: Human Male Bard 7 presupported.stl → Humanoid/Human/
2026-08-21T06:47:30.411Z INFO  Moving: Human Male Bard 4.stl → Humanoid/Human/
2026-08-21T06:47:30.424Z INFO  Moving: Human Male Bard 7.stl → Humanoid/Human/
2026-08-21T06:47:30.436Z INFO  Moving: Human Male Bard 6.stl → Humanoid/Human/
2026-08-21T06:47:30.448Z INFO  Moving: Human Female Bard 6 presupported.stl → Humanoid/Human/
2026-08-21T06:47:30.461Z INFO  Moving: Human Female Bard 7 presupported.stl → Humanoid/Human/
2026-08-21T06:47:30.473Z INFO  Moving: Human Female Bard 7.stl → Humanoid/Human/
2026-08-21T06:47:30.813Z INFO  Moving: Snailfolk Bard w Bagpipes presupported.stl → Elemental/
2026-08-21T06:47:30.825Z INFO  Moving: Snailfolk Bard w Bagpipes.stl → Elemental/
2026-08-21T06:47:30.844Z INFO  Moving: Medium Sized Creature Flying Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:30.914Z INFO  Moving: Firbolg Female Druid Circle of Spores presupported.stl → Construct/
2026-08-21T06:47:30.925Z INFO  Moving: Firbolg Female Druid Circle of Spores.stl → Construct/
2026-08-21T06:47:30.953Z INFO  Moving: Large Creature Flying Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:30.964Z INFO  Moving: Werewolf Fighter.stl → Beast/
2026-08-21T06:47:30.975Z INFO  Moving: Triton Male Fighter Pirate w Squid Buddy presupported.stl → Beast/
2026-08-21T06:47:30.985Z INFO  Moving: Triton Male Fighter Pirate w Squid Buddy.stl → Beast/
2026-08-21T06:47:30.995Z INFO  Moving: Werewolf Fighter presupported.stl → Beast/
2026-08-21T06:47:31.007Z INFO  Moving: Sir Nacho presupported.stl → Unsorted/
2026-08-21T06:47:31.019Z INFO  Moving: Sir Nacho.stl → Unsorted/
2026-08-21T06:47:31.029Z INFO  Moving: Ratfolk Fighter.stl → Beast/
2026-08-21T06:47:31.085Z INFO  Moving: Large Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:31.095Z INFO  Moving: Ratfolk Fighter presupported.stl → Beast/
2026-08-21T06:47:31.108Z INFO  Moving: Half Orc Chef Fighter presupported.stl → Humanoid/Human/
2026-08-21T06:47:31.121Z INFO  Moving: Half Orc Chef Fighter.stl → Humanoid/Human/
2026-08-21T06:47:31.187Z INFO  Moving: Small Creature Flying Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:31.199Z INFO  Moving: Female Dragonborn Paladin Cleric presupported.stl → Dragon/Chromatic/
2026-08-21T06:47:31.210Z INFO  Moving: Female Dragonborn Paladin Cleric.stl → Dragon/Chromatic/
2026-08-21T06:47:31.222Z INFO  Moving: Female Elf Paladin Cleric with Mace presupported.stl → Humanoid/Elf/
2026-08-21T06:47:31.234Z INFO  Moving: Female Elf Paladin Cleric with Sword.stl → Humanoid/Elf/
2026-08-21T06:47:31.246Z INFO  Moving: Female Elf Paladin Cleric with Mace.stl → Humanoid/Elf/
2026-08-21T06:47:31.259Z INFO  Moving: Halfling Cleric Paladin presupported.stl → Humanoid/Halfling/
2026-08-21T06:47:31.271Z INFO  Moving: Halfling Cleric Paladin.stl → Humanoid/Halfling/
2026-08-21T06:47:31.281Z INFO  Moving: Large Creature Flying Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:31.294Z INFO  Moving: Female Sun Paladin Cleric presupported.stl → Humanoid/Human/
2026-08-21T06:47:31.304Z INFO  Moving: Lion Folk Cleric Paladin.stl → Beast/
2026-08-21T06:47:31.316Z INFO  Moving: Firbolg Cleric Paladin presupported.stl → Humanoid/Human/
2026-08-21T06:47:31.329Z INFO  Moving: Firbolg Cleric Paladin.stl → Humanoid/Human/
2026-08-21T06:47:31.389Z INFO  Moving: Goblin  Cleric Paladin presupported.stl → Fey/
2026-08-21T06:47:31.401Z INFO  Moving: Goblin  Cleric Paladin.stl → Fey/
2026-08-21T06:47:31.411Z INFO  Moving: Lion Folk Cleric Paladin presupported.stl → Beast/
2026-08-21T06:47:31.424Z INFO  Moving: Tabaxi Cleric Paladin.stl → Humanoid/Human/
2026-08-21T06:47:31.434Z INFO  Moving: Large Creature Flying Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:31.444Z INFO  Moving: Medium Sized Creature Flying Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:31.453Z INFO  Moving: Medium Sized Creature Flying Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:31.532Z INFO  Moving: Kenku Ninja presupported.stl → Monstrosity/
2026-08-21T06:47:31.546Z INFO  Moving: Kenku Ninja.stl → Monstrosity/
2026-08-21T06:47:31.562Z INFO  Moving: Mousefolk Rogue presupported.stl → Elemental/
2026-08-21T06:47:31.573Z INFO  Moving: Mousefolk Rogue.stl → Elemental/
2026-08-21T06:47:31.687Z INFO  Moving: Small Creature Flying Size Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:31.736Z INFO  Moving: medium creature flying marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:31.747Z INFO  Moving: Small Creature Flying Size Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:31.759Z INFO  Moving: Female Elven Bladesinger.stl → Unsorted/
2026-08-21T06:47:31.771Z INFO  Moving: Female Elven Bladesinger presupported.stl → Unsorted/
2026-08-21T06:47:31.783Z INFO  Moving: Human Male Wizard Bladesinger.stl → Humanoid/Human/
2026-08-21T06:47:31.795Z INFO  Moving: Human Male Wizard Bladesinger presupported.stl → Humanoid/Human/
2026-08-21T06:47:31.808Z INFO  Moving: Tortle Wizard Young.stl → Humanoid/Human/
2026-08-21T06:47:31.818Z INFO  Moving: Medium Creature Flying Size Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:31.828Z INFO  Moving: Small Creature Flying Size Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:31.841Z INFO  Moving: Tortle Wizard Young presupported.stl → Humanoid/Human/
2026-08-21T06:47:31.855Z INFO  Moving: Half Orc Female Wizard Librarian presupported.stl → Humanoid/Human/
2026-08-21T06:47:31.867Z INFO  Moving: Half Orc Female Wizard Librarian.stl → Humanoid/Human/
2026-08-21T06:47:31.996Z INFO  Moving: Huge Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.041Z INFO  Moving: medium creature Floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.052Z INFO  Moving: huge_creature floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.063Z INFO  Moving: medium creature Floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.074Z INFO  Moving: large_creature_Floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.085Z INFO  Moving: Huge Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.095Z INFO  Moving: Large Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.169Z INFO  Moving: gargantuan__creature_flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.181Z INFO  Moving: huge_creature flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.193Z INFO  Moving: large_creature_Flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.203Z INFO  Moving: gargantuan__creature_flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.214Z INFO  Moving: huge_creature flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.224Z INFO  Moving: large_creature_Flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.236Z INFO  Moving: huge_creature floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.247Z INFO  Moving: gargantuan__creature_floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.258Z INFO  Moving: Medium Creature Flying Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.269Z INFO  Moving: large_creature_Floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.280Z INFO  Moving: Huge Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.426Z INFO  Moving: Gargantuan Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.438Z INFO  Moving: Silver Dragon Wyrmling presupported.stl → Dragon/Chromatic/
